source,target,type
770559,26417455,Undirected
770559,36538624,Undirected
14237712,36538624,Undirected
906740,32486569,Undirected
906740,45033491,Undirected
990446,7891048,Undirected
836918,26417455,Undirected
836918,45465510,Undirected
836918,4453807,Undirected
836918,49885058,Undirected
916630,50034729,Undirected
4134197,27989284,Undirected
4134197,3370569,Undirected
4134197,48742376,Undirected
3887774,2046282,Undirected
3887774,3370569,Undirected
3887774,49595649,Undirected
4133761,2392988,Undirected
3937348,4453807,Undirected
4092617,33720317,Undirected
4399338,50023378,Undirected
4049196,32915739,Undirected
4291951,7905446,Undirected
4291951,1703591,Undirected
4291951,3406936,Undirected
4291951,3854854,Undirected
4157870,33709206,Undirected
4157870,48742376,Undirected
3910851,7891048,Undirected
3977763,6063374,Undirected
3977763,28679156,Undirected
4011589,49965579,Undirected
4011589,49916746,Undirected
4363107,26114336,Undirected
4363107,26731123,Undirected
4363107,3297493,Undirected
3947992,2046188,Undirected
4537913,2392988,Undirected
4537913,36805363,Undirected
4454030,2392988,Undirected
3894552,28116313,Undirected
3894552,4368436,Undirected
4340430,33709206,Undirected
4340430,49931824,Undirected
3067901,3006486,Undirected
3067901,3804927,Undirected
3109493,36805363,Undirected
3007578,45163881,Undirected
3007578,3007248,Undirected
3001477,5685147,Undirected
3001477,3145533,Undirected
3001477,49867985,Undirected
3086726,2392988,Undirected
3187032,32341835,Undirected
3187032,25300989,Undirected
3187032,47235222,Undirected
3187032,6449130,Undirected
3187032,45275418,Undirected
3128788,3007248,Undirected
3028186,5523348,Undirected
2664296,2963811,Undirected
3198019,19012164,Undirected
3143244,35230321,Undirected
3143244,47235222,Undirected
2871187,25300989,Undirected
2871187,5547088,Undirected
2871187,50034729,Undirected
3172002,31141007,Undirected
3172002,51106337,Undirected
3177865,3137645,Undirected
3177865,49854542,Undirected
3119186,45302771,Undirected
3119186,49682934,Undirected
3119186,49915966,Undirected
3187033,7891048,Undirected
3187033,49782505,Undirected
3326791,12702405,Undirected
3326791,27989284,Undirected
3326791,32341835,Undirected
3326791,25971688,Undirected
3326791,4515800,Undirected
3222044,32111200,Undirected
3222044,22921474,Undirected
3222044,2392988,Undirected
3716340,5685147,Undirected
3716340,2963811,Undirected
3222123,30604219,Undirected
3222123,47149066,Undirected
3222123,45513470,Undirected
3222123,29667099,Undirected
3222123,3007248,Undirected
3308696,45681822,Undirected
3308696,37180945,Undirected
3308696,49736680,Undirected
3297356,30311456,Undirected
3297356,26045599,Undirected
3297356,2415826,Undirected
3297356,49896844,Undirected
3567969,30311456,Undirected
3567969,49916746,Undirected
3567969,49885058,Undirected
3550926,45252134,Undirected
3214866,45681822,Undirected
3214866,29667099,Undirected
3214866,49610651,Undirected
3214866,49896844,Undirected
3213536,49595649,Undirected
3510380,12710386,Undirected
3510380,5685147,Undirected
3215403,12060503,Undirected
3215403,27482326,Undirected
3215403,5685147,Undirected
3223380,33709206,Undirected
3223380,45239625,Undirected
3223380,45542224,Undirected
3223380,3297493,Undirected
3223380,37310395,Undirected
3634892,12710386,Undirected
3634892,3406936,Undirected
3503832,45039324,Undirected
3503832,45185186,Undirected
3362939,45185435,Undirected
3362939,48548443,Undirected
3362939,49853610,Undirected
3214463,47235222,Undirected
3214463,49782505,Undirected
3214463,49875076,Undirected
3595438,27989284,Undirected
3595438,25300989,Undirected
3595438,49965579,Undirected
