id,label,category
2218420,Rafael Sánchez-Navarro,actor
770559,Lorena Herrera,actor
14237712,Alejandra Meyer,actor
906740,Fernando Allende,actor
990446,Gaspar Henaine,actor
836918,Maribel Guardia,actor
916630,Patricia Manterola,actor
4134197,Adriana Fonseca,actor
3887774,Carmen Montejo,actor
4133761,Christian Chávez,actor
3937348,Christopher Uckermann,actor
4092617,Cristián de la Fuente,actor
4399338,Eugenio Derbez,actor
4049196,Fabiola Campomanes,actor
4291951,Fernando Colunga,actor
4157870,Gabriel Soto,actor
3910851,Marcelo Buquet,actor
3977763,Miguel de León,actor
4011589,Nailea Norvind,actor
4363107,Sabine Moussier,actor
3947992,Sara García,actor
4537913,Sara Maldonado,actor
4454030,Sherlyn González,actor
3894552,Silvia Derbez,actor
4340430,Zaide Silvia Gutiérrez,actor
3067901,Ana Colchero,actor
3109493,Ana Layevska,actor
3007578,Angélica Aragón,actor
3001477,Angélica María,actor
3086726,Dulce María,actor
3187032,Erika Buenfil,actor
3128788,Fernando Luján,actor
3028186,Imanol Landeta,actor
2664296,Joana Benedek,actor
3198019,Laisha Wilkins,actor
3143244,Maite Perroni,actor
2871187,Mario Cimarro,actor
3172002,Mercedes Moltó,actor
3177865,Ofelia Medina,actor
3119186,Roberto Vander,actor
3187033,Yolanda Ventura,actor
3326791,Alexis Ayala,actor
3222044,Alfonso Herrera (actor),actor
3716340,Angélica Vale,actor
3222123,Ari Telch,actor
3308696,Christian Bach,actor
3297356,Cynthia Klitbo,actor
3567969,Francisco Gattorno,actor
3550926,Gregorio Casal,actor
3214866,Humberto Zurita,actor
3213536,Héctor Soberón,actor
3510380,Jaime Camil,actor
3215403,Juan Soler,actor
3223380,Laura Flores,actor
3634892,Lucero (cantante),actor
3503832,Lupita D'Alessio,actor
3362939,Manuel Landeta,actor
3214463,Manuel Ojeda,actor
3595438,Mariana Seoane,actor
3308948,Mauricio Ochmann,actor
3777275,Natalia Streignard,actor
3613152,Patricio Borghetti,actor
3765229,Rafael Rojas (actor),actor
3381000,René Muñoz,actor
3342964,René Strickler,actor
3494319,Sasha Sokol,actor
3226315,Ingrid Martz,actor
3213864,Otto Sirgo,actor
36974205,José Alonso (actor),actor
37083408,Susana Alexander,actor
3576665,Noé Murayama,actor
49554125,Carlos Cámara,actor
55961006,Irma Lozano,actor
55743327,Rosario Gálvez,actor
57440073,Jaime Garza,actor
58762428,Macaria (actriz),actor
62352567,Gabriela Goldsmith,actor
47162623,Frank Moro,actor
31922536,Julieta Egurrola,actor
10449583,Arap Bethke,actor
10124104,Germán Robles,actor
10501392,Lorena Rojas,actor
10452934,Olga Breeskin,actor
10317576,Raquel Olmedo,actor
10441762,Sebastián Ligarde,actor
17007913,Altaír Jarabo,actor
16252112,Mayrín Villanueva,actor
16405225,Natasha Dupeyrón,actor
20086647,Aitor Iturrioz,actor
19724668,Alejandro Ávila,actor
19489129,Daniel Giménez Cacho,actor
19446532,Jorge Poza,actor
21181679,Armando Calvo,actor
21357362,Danna Paola,actor
21185435,Ernesto Laguardia,actor
21146417,Gustavo Rojo,actor
21341406,José Ron,actor
21133077,Julio Bracho,actor
37583744,Alfredo Adame,actor
38240969,África Zavala,actor
50287956,Emmanuel Palomares,actor
8406720,Eduardo Santamarina,actor
8277762,Eric del Castillo,actor
8910947,Iliana Fox,actor
15478153,Daniela Castro,actor
18256460,Evita Muñoz «Chachita»,actor
17744328,Luis Roberto Guzmán,actor
17925306,Nora Salinas,actor
17417485,Ximena Sariñana,actor
22098582,Enrique Álvarez Félix,actor
22031011,Erik Rubín,actor
22057821,Verónica Merchant,actor
24133565,Alberto Estrella,actor
24348163,Ana Patricia Rojo,actor
24679343,Arcelia Ramírez,actor
23733398,Esmeralda Pimentel,actor
23734496,Mane de la Parra,actor
24077717,Mariana Garza,actor
10565337,Claudio Brook,actor
10561504,Eduardo Yáñez (actor),actor
10610623,Odiseo Bichir,actor
10848785,Sergio Mayer,actor
13889028,Ignacio López Tarso,actor
13398394,Lisette Morelos,actor
13374932,Ricardo Blume,actor
36052916,Andrea Legarreta,actor
36087188,Andrés Palacios,actor
35711036,Gabriela Rivero,actor
35886899,Macarena Achaga,actor
35614902,Rafael Baledón,actor
23571990,Carina Ricco,actor
46731329,Rita Macedo,actor
14380338,Julieta Rosen,actor
14909073,Víctor Noriega,actor
3410049,Ofelia Guilmáin,actor
3382910,Sergio Klainer,actor
42718219,Alejandro Ibarra,actor
42681532,Brandon Peniche,actor
42267586,Daniel Arenas,actor
42467474,Leticia Perdigón,actor
42415236,Mónika Sánchez,actor
42628792,Natalia Esperón,actor
42889284,Rosa María Bianchi,actor
42682723,Silvia Mariscal,actor
42583689,Tiaré Scanda,actor
43018548,Alicia Rodríguez (actriz mexicana),actor
43099308,Carlos Ancira,actor
43909180,Carmen Aub,actor
43937724,Carmen Salinas,actor
43627513,Claudia Ramírez,actor
43913625,Delia Casanova,actor
44002779,Erik Hayser,actor
43177508,Lilia Aragón,actor
43915345,Magda Guzmán,actor
43386227,Paty Díaz,actor
