titleID,title,nameID,name
49641638,"""Entre la vida y la muerte (telenovela)""@es",12795632,"""Fernando Ciangherotti""@es"
31267614,"""Rafaela (telenovela de 2011)""@es",19350385,"""Scarlet Ortiz""@es"
27482326,"""Cuando me enamoro (telenovela)""@es",26045918,"""René Casados""@es"
45513470,"""Dos vidas (telenovela mexicana)""@es",26045918,"""René Casados""@es"
50015159,"""La jaula de oro (telenovela)""@es",26045918,"""René Casados""@es"
49936891,"""Infierno en el paraíso""@es",693474,"""Alicia Machado""@es"
26417455,"""Niña de mi corazón""@es",665102,"""Erick Elías""@es"
31008675,"""Ni contigo ni sin ti""@es",665102,"""Erick Elías""@es"
36538624,"""Amy, la niña de la mochila azul""@es",706482,"""Tatiana (cantante)""@es"
12385024,"""Camila (telenovela)""@es",1157930,"""Biby Gaytán""@es"
2899885,"""Alcanzar una estrella II""@es",1157930,"""Biby Gaytán""@es"
2178427,"""Rubí (telenovela de 2004)""@es",1363900,"""Bárbara Mori""@es"
3007086,"""Azul tequila""@es",1363900,"""Bárbara Mori""@es"
24905245,"""Alma rebelde""@es",1354058,"""Eduardo Verástegui""@es"
31896749,"""Dos hogares""@es",1350212,"""Laura León""@es"
37444146,"""Te sigo amando""@es",1325618,"""Luis José Santander""@es"
3006486,"""Nada personal (telenovela)""@es",1153351,"""Lupita Ferrer""@es"
3145533,"""Rosalinda (telenovela)""@es",1153351,"""Lupita Ferrer""@es"
2392988,"""Clase 406""@es",1960404,"""Aarón Díaz""@es"
2415826,"""Teresa (telenovela de 2010)""@es",1960404,"""Aarón Díaz""@es"
2415826,"""Teresa (telenovela de 2010)""@es",1991791,"""Angelique Boyer""@es"
2963811,"""Amigas y rivales""@es",2006063,"""Arath de la Torre""@es"
12385024,"""Camila (telenovela)""@es",1992343,"""Eduardo Capetillo""@es"
6063374,"""¡Vivan los niños!""@es",1992343,"""Eduardo Capetillo""@es"
3939570,"""Alcanzar una estrella""@es",1992343,"""Eduardo Capetillo""@es"
36538624,"""Amy, la niña de la mochila azul""@es",1992343,"""Eduardo Capetillo""@es"
48588521,"""Morir para vivir""@es",1992343,"""Eduardo Capetillo""@es"
49855224,"""Canción de amor (telenovela)""@es",1992343,"""Eduardo Capetillo""@es"
2392988,"""Clase 406""@es",1992812,"""Irán Castillo""@es"
3406936,"""Alborada (telenovela)""@es",1992812,"""Irán Castillo""@es"
49916746,"""Preciosa""@es",1992812,"""Irán Castillo""@es"
6038504,"""Heridas de amor""@es",1991999,"""Jacqueline Bracamontes""@es"
2178427,"""Rubí (telenovela de 2004)""@es",1991999,"""Jacqueline Bracamontes""@es"
25300989,"""Mar de amor""@es",1928290,"""Juan Ferrara""@es"
29667099,"""La antorcha encendida""@es",1928290,"""Juan Ferrara""@es"
49967773,"""Desencuentro""@es",1928290,"""Juan Ferrara""@es"
49936891,"""Infierno en el paraíso""@es",1928290,"""Juan Ferrara""@es"
45088562,"""Aprendiendo a vivir""@es",1991524,"""Julio Alemán""@es"
48884055,"""Infamia (telenovela)""@es",1991524,"""Julio Alemán""@es"
49896844,"""Alguna vez tendremos alas""@es",1850664,"""Katie Barberi""@es"
26731123,"""Mujeres engañadas""@es",2004538,"""Kuno Becker""@es"
45340860,"""Marionetas (telenovela)""@es",2091936,"""Mapita Cortés""@es"
26114336,"""Entre el amor y el odio""@es",1863889,"""Marga López""@es"
45185186,"""Lo blanco y lo negro""@es",1819808,"""Mariana Levy""@es"
49682934,"""Caminos cruzados""@es",1819808,"""Mariana Levy""@es"
49867985,"""Bendita mentira""@es",1819808,"""Mariana Levy""@es"
25300989,"""Mar de amor""@es",1990934,"""Ninel Conde""@es"
32341835,"""Tres mujeres (telenovela)""@es",1865671,"""Pedro Armendáriz Jr.""@es"
36538624,"""Amy, la niña de la mochila azul""@es",1865671,"""Pedro Armendáriz Jr.""@es"
49875076,"""La culpa (telenovela)""@es",1865671,"""Pedro Armendáriz Jr.""@es"
45163881,"""La casa al final de la calle""@es",1991784,"""Saby Kamalich""@es"
49783220,"""María José (telenovela de 1995)""@es",1991784,"""Saby Kamalich""@es"
50023378,"""No tengo madre""@es",1991784,"""Saby Kamalich""@es"
49763300,"""Retrato de familia (telenovela mexicana)""@es",1991784,"""Saby Kamalich""@es"
49915966,"""Sin ti (telenovela)""@es",1991784,"""Saby Kamalich""@es"
19012164,"""Un gancho al corazón""@es",1826859,"""Sebastián Rulli""@es"
2178427,"""Rubí (telenovela de 2004)""@es",1826859,"""Sebastián Rulli""@es"
2415826,"""Teresa (telenovela de 2010)""@es",1826859,"""Sebastián Rulli""@es"
45039324,"""Aprendiendo a amar""@es",1859066,"""Susana Dosamantes""@es"
48884055,"""Infamia (telenovela)""@es",1859066,"""Susana Dosamantes""@es"
48588521,"""Morir para vivir""@es",1859066,"""Susana Dosamantes""@es"
12060503,"""La otra (telenovela)""@es",1992576,"""Yadhira Carrillo""@es"
